r_s_over_r_env,m_eff_r_env,Delta_TM_match,B_TM
0.1500,0.3000,0.18674998,3.67993926e-04
0.1500,0.3640,0.18283678,3.71831843e-04
0.1500,0.4281,0.17900146,3.75667745e-04
0.1500,0.4921,0.17524531,3.79501279e-04
0.1500,0.5562,0.17156980,3.83332090e-04
0.1500,0.6202,0.16797656,3.87159824e-04
0.1500,0.6843,0.16446738,3.90984130e-04
0.1500,0.7483,0.16104419,3.94804652e-04
0.1500,0.8124,0.15770900,3.98621040e-04
0.1500,0.8764,0.15446395,4.02432941e-04
0.1500,0.9404,0.15131124,4.06240003e-04
0.1500,1.0045,0.14825314,4.10041874e-04
0.1500,1.0685,0.14529194,4.13838205e-04
0.1500,1.1326,0.14242995,4.17628643e-04
0.1500,1.1966,0.13966948,4.21412841e-04
0.1500,1.2607,0.13701280,4.25190447e-04
0.1500,1.3247,0.13446214,4.28961115e-04
0.1500,1.3888,0.13201965,4.32724495e-04
0.1500,1.4528,0.12968741,4.36480241e-04
0.1500,1.5169,0.12746736,4.40228005e-04
0.1500,1.5809,0.12536134,4.43967443e-04
0.1500,1.6449,0.12337103,4.47698208e-04
0.1500,1.7090,0.12149797,4.51419957e-04
0.1500,1.7730,0.11974351,4.55132346e-04
0.1500,1.8371,0.11810881,4.58835033e-04
0.1500,1.9011,0.11659486,4.62527675e-04
0.1500,1.9652,0.11520241,4.66209932e-04
0.1500,2.0292,0.11393201,4.69881465e-04
0.1500,2.0933,0.11278401,4.73541933e-04
0.1500,2.1573,0.11175852,4.77191000e-04
0.1500,2.2213,0.11085544,4.80828329e-04
0.1500,2.2854,0.11007442,4.84453584e-04
0.1500,2.3494,0.10941494,4.88066430e-04
0.1500,2.4135,0.10887622,4.91666535e-04
0.1500,2.4775,0.10845731,4.95253565e-04
0.1500,2.5416,0.10815704,4.98827189e-04
0.1500,2.6056,0.10797407,5.02387079e-04
0.1500,2.6697,0.10790687,5.05932905e-04
0.1500,2.7337,0.10795376,5.09464340e-04
0.1500,2.7978,0.10811292,5.12981059e-04
0.1500,2.8618,0.10838239,5.16482736e-04
0.1500,2.9258,0.10876011,5.19969049e-04
0.1500,2.9899,0.10924392,5.23439675e-04
0.1500,3.0539,0.10983161,5.26894295e-04
0.1500,3.1180,0.11052089,5.30332589e-04
0.1500,3.1820,0.11130947,5.33754241e-04
0.1500,3.2461,0.11219503,5.37158935e-04
0.1500,3.3101,0.11317527,5.40546355e-04
0.1500,3.3742,0.11424794,5.43916191e-04
0.1500,3.4382,0.11541083,5.47268130e-04
0.1500,3.5022,0.11666180,5.50601863e-04
0.1500,3.5663,0.11799882,5.53917084e-04
0.1500,3.6303,0.11941996,5.57213485e-04
0.1500,3.6944,0.12092344,5.60490762e-04
0.1500,3.7584,0.12250762,5.63748614e-04
0.1500,3.8225,0.12417101,5.66986738e-04
0.1500,3.8865,0.12591232,5.70204838e-04
0.1500,3.9506,0.12773044,5.73402615e-04
0.1500,4.0146,0.12962445,5.76579775e-04
0.1500,4.0787,0.13159366,5.79736023e-04
0.1500,4.1427,0.13363757,5.82871070e-04
0.1500,4.2067,0.13575591,5.85984625e-04
0.1500,4.2708,0.13794863,5.89076402e-04
0.1500,4.3348,0.14021592,5.92146114e-04
0.1500,4.3989,0.14255815,5.95193479e-04
0.1500,4.4629,0.14497594,5.98218216e-04
0.1500,4.5270,0.14747011,6.01220045e-04
0.1500,4.5910,0.15004169,6.04198689e-04
0.1500,4.6551,0.15269189,6.07153873e-04
0.1500,4.7191,0.15542212,6.10085325e-04
0.1500,4.7831,0.15823394,6.12992774e-04
0.1500,4.8472,0.16112909,6.15875951e-04
0.1500,4.9112,0.16410942,6.18734592e-04
0.1500,4.9753,0.16717694,6.21568431e-04
0.1500,5.0393,0.17033372,6.24377207e-04
0.1500,5.1034,0.17358194,6.27160662e-04
0.1500,5.1674,0.17692385,6.29918537e-04
0.1500,5.2315,0.18036173,6.32650579e-04
0.1500,5.2955,0.18389789,6.35356536e-04
0.1500,5.3596,0.18753464,6.38036158e-04
0.1500,5.4236,0.19127427,6.40689197e-04
0.1500,5.4876,0.19511902,6.43315409e-04
0.1500,5.5517,0.19907109,6.45914551e-04
0.1500,5.6157,0.20313257,6.48486383e-04
0.1500,5.6798,0.20730547,6.51030669e-04
0.1500,5.7438,0.21159168,6.53547172e-04
0.1500,5.8079,0.21599295,6.56035662e-04
0.1500,5.8719,0.22051086,6.58495908e-04
0.1500,5.9360,0.22514684,6.60927684e-04
0.1500,6.0000,0.22990214,6.63330764e-04
0.1588,0.3000,0.18625375,3.69042799e-04
0.1588,0.3640,0.18233409,3.73103988e-04
0.1588,0.4281,0.17849119,3.77162788e-04
0.1588,0.4921,0.17472643,3.81218781e-04
0.1588,0.5562,0.17104134,3.85271546e-04
0.1588,0.6202,0.16743765,3.89320665e-04
0.1588,0.6843,0.16391725,3.93365720e-04
0.1588,0.7483,0.16048215,3.97406292e-04
0.1588,0.8124,0.15713450,4.01441964e-04
0.1588,0.8764,0.15387654,4.05472318e-04
0.1588,0.9404,0.15071060,4.09496938e-04
0.1588,1.0045,0.14763905,4.13515408e-04
0.1588,1.0685,0.14466432,4.17527312e-04
0.1588,1.1326,0.14178885,4.21532236e-04
0.1588,1.1966,0.13901505,4.25529766e-04
0.1588,1.2607,0.13634534,4.29519488e-04
0.1588,1.3247,0.13378205,4.33500990e-04
0.1588,1.3888,0.13132747,4.37473861e-04
0.1588,1.4528,0.12898376,4.41437690e-04
0.1588,1.5169,0.12675299,4.45392066e-04
0.1588,1.5809,0.12463709,4.49336583e-04
0.1588,1.6449,0.12263784,4.53270830e-04
0.1588,1.7090,0.12075685,4.57194403e-04
0.1588,1.7730,0.11899555,4.61106895e-04
0.1588,1.8371,0.11735517,4.65007902e-04
0.1588,1.9011,0.11583672,4.68897020e-04
0.1588,1.9652,0.11444103,4.72773849e-04
0.1588,2.0292,0.11316867,4.76637986e-04
0.1588,2.0933,0.11202000,4.80489032e-04
0.1588,2.1573,0.11099514,4.84326590e-04
0.1588,2.2213,0.11009397,4.88150263e-04
0.1588,2.2854,0.10931615,4.91959655e-04
0.1588,2.3494,0.10866111,4.95754373e-04
0.1588,2.4135,0.10812804,4.99534024e-04
0.1588,2.4775,0.10771593,5.03298218e-04
0.1588,2.5416,0.10742356,5.07046565e-04
0.1588,2.6056,0.10724950,5.10778679e-04
0.1588,2.6697,0.10719214,5.14494173e-04
0.1588,2.7337,0.10724972,5.18192663e-04
0.1588,2.7978,0.10742032,5.21873767e-04
0.1588,2.8618,0.10770186,5.25537105e-04
0.1588,2.9258,0.10809219,5.29182297e-04
0.1588,2.9899,0.10858902,5.32808968e-04
0.1588,3.0539,0.10919002,5.36416741e-04
0.1588,3.1180,0.10989279,5.40005245e-04
0.1588,3.1820,0.11069490,5.43574108e-04
0.1588,3.2461,0.11159391,5.47122961e-04
0.1588,3.3101,0.11258741,5.50651438e-04
0.1588,3.3742,0.11367300,5.54159173e-04
0.1588,3.4382,0.11484836,5.57645804e-04
0.1588,3.5022,0.11611125,5.61110971e-04
0.1588,3.5663,0.11745952,5.64554316e-04
0.1588,3.6303,0.11889114,5.67975482e-04
0.1588,3.6944,0.12040423,5.71374117e-04
0.1588,3.7584,0.12199706,5.74749867e-04
0.1588,3.8225,0.12366806,5.78102386e-04
0.1588,3.8865,0.12541588,5.81431325e-04
0.1588,3.9506,0.12723934,5.84736342e-04
0.1588,4.0146,0.12913747,5.88017094e-04
0.1588,4.0787,0.13110954,5.91273242e-04
0.1588,4.1427,0.13315503,5.94504450e-04
0.1588,4.2067,0.13527365,5.97710383e-04
0.1588,4.2708,0.13746537,6.00890711e-04
0.1588,4.3348,0.13973034,6.04045104e-04
0.1588,4.3989,0.14206900,6.07173237e-04
0.1588,4.4629,0.14448199,6.10274785e-04
0.1588,4.5270,0.14697016,6.13349429e-04
0.1588,4.5910,0.14953461,6.16396851e-04
0.1588,4.6551,0.15217661,6.19416736e-04
0.1588,4.7191,0.15489764,6.22408771e-04
0.1588,4.7831,0.15769935,6.25372647e-04
0.1588,4.8472,0.16058358,6.28308057e-04
0.1588,4.9112,0.16355227,6.31214700e-04
0.1588,4.9753,0.16660754,6.34092273e-04
0.1588,5.0393,0.16975157,6.36940479e-04
0.1588,5.1034,0.17298668,6.39759025e-04
0.1588,5.1674,0.17631521,6.42547618e-04
0.1588,5.2315,0.17973958,6.45305971e-04
0.1588,5.2955,0.18326222,6.48033798e-04
0.1588,5.3596,0.18688557,6.50730817e-04
0.1588,5.4236,0.19061203,6.53396750e-04
0.1588,5.4876,0.19444398,6.56031321e-04
0.1588,5.5517,0.19838372,6.58634257e-04
0.1588,5.6157,0.20243347,6.61205291e-04
0.1588,5.6798,0.20659534,6.63744154e-04
0.1588,5.7438,0.21087132,6.66250586e-04
0.1588,5.8079,0.21526325,6.68724328e-04
0.1588,5.8719,0.21977281,6.71165123e-04
0.1588,5.9360,0.22440151,6.73572719e-04
0.1588,6.0000,0.22915065,6.75946868e-04
0.1675,0.3000,0.18576959,3.70091542e-04
0.1675,0.3640,0.18184355,3.74375899e-04
0.1675,0.4281,0.17799319,3.78657450e-04
0.1675,0.4921,0.17421992,3.82935704e-04
0.1675,0.5562,0.17052538,3.87210167e-04
0.1675,0.6202,0.16691139,3.91480348e-04
0.1675,0.6843,0.16337991,3.95745756e-04
0.1675,0.7483,0.15993308,4.00005900e-04
0.1675,0.8124,0.15657314,4.04260288e-04
0.1675,0.8764,0.15330244,4.08508433e-04
0.1675,0.9404,0.15012343,4.12749844e-04
0.1675,1.0045,0.14703862,4.16984035e-04
0.1675,1.0685,0.14405054,4.21210517e-04
0.1675,1.1326,0.14116176,4.25428804e-04
0.1675,1.1966,0.13837483,4.29638411e-04
0.1675,1.2607,0.13569226,4.33838853e-04
0.1675,1.3247,0.13311652,4.38029647e-04
0.1675,1.3888,0.13064999,4.42210310e-04
0.1675,1.4528,0.12829498,4.46380363e-04
0.1675,1.5169,0.12605363,4.50539324e-04
0.1675,1.5809,0.12392799,4.54686715e-04
0.1675,1.6449,0.12191992,4.58822058e-04
0.1675,1.7090,0.12003111,4.62944879e-04
0.1675,1.7730,0.11826305,4.67054702e-04
0.1675,1.8371,0.11661706,4.71151055e-04
0.1675,1.9011,0.11509419,4.75233466e-04
0.1675,1.9652,0.11369530,4.79301465e-04
0.1675,2.0292,0.11242100,4.83354584e-04
0.1675,2.0933,0.11127166,4.87392357e-04
0.1675,2.1573,0.11024742,4.91414318e-04
0.1675,2.2213,0.10934815,4.95420007e-04
0.1675,2.2854,0.10857348,4.99408960e-04
0.1675,2.3494,0.10792282,5.03380719e-04
0.1675,2.4135,0.10739533,5.07334828e-04
0.1675,2.4775,0.10698993,5.11270831e-04
0.1675,2.5416,0.10670534,5.15188275e-04
0.1675,2.6056,0.10654006,5.19086709e-04
0.1675,2.6697,0.10649242,5.22965685e-04
0.1675,2.7337,0.10656055,5.26824757e-04
0.1675,2.7978,0.10674243,5.30663479e-04
0.1675,2.8618,0.10703589,5.34481411e-04
0.1675,2.9258,0.10743866,5.38278113e-04
0.1675,2.9899,0.10794834,5.42053149e-04
0.1675,3.0539,0.10856247,5.45806083e-04
0.1675,3.1180,0.10927854,5.49536484e-04
0.1675,3.1820,0.11009399,5.53243922e-04
0.1675,3.2461,0.11100628,5.56927972e-04
0.1675,3.3101,0.11201284,5.60588209e-04
0.1675,3.3742,0.11311119,5.64224211e-04
0.1675,3.4382,0.11429886,5.67835560e-04
0.1675,3.5022,0.11557351,5.71421842e-04
0.1675,3.5663,0.11693288,5.74982642e-04
0.1675,3.6303,0.11837484,5.78517552e-04
0.1675,3.6944,0.11989741,5.82026164e-04
0.1675,3.7584,0.12149877,5.85508075e-04
0.1675,3.8225,0.12317728,5.88962884e-04
0.1675,3.8865,0.12493152,5.92390193e-04
0.1675,3.9506,0.12676024,5.95789609e-04
0.1675,4.0146,0.12866243,5.99160739e-04
0.1675,4.0787,0.13063733,6.02503196e-04
0.1675,4.1427,0.13268438,6.05816596e-04
0.1675,4.2067,0.13480329,6.09100556e-04
0.1675,4.2708,0.13699400,6.12354699e-04
0.1675,4.3348,0.13925670,6.15578651e-04
0.1675,4.3989,0.14159184,6.18772041e-04
0.1675,4.4629,0.14400008,6.21934500e-04
0.1675,4.5270,0.14648234,6.25065666e-04
0.1675,4.5910,0.14903975,6.28165177e-04
0.1675,4.6551,0.15167365,6.31232678e-04
0.1675,4.7191,0.15438561,6.34267814e-04
0.1675,4.7831,0.15717735,6.37270238e-04
0.1675,4.8472,0.16005080,6.40239602e-04
0.1675,4.9112,0.16300801,6.43175567e-04
0.1675,4.9753,0.16605119,6.46077793e-04
0.1675,5.0393,0.16918266,6.48945946e-04
0.1675,5.1034,0.17240482,6.51779698e-04
0.1675,5.1674,0.17572016,6.54578721e-04
0.1675,5.2315,0.17913120,6.57342693e-04
0.1675,5.2955,0.18264050,6.60071297e-04
0.1675,5.3596,0.18625062,6.62764218e-04
0.1675,5.4236,0.18996410,6.65421147e-04
0.1675,5.4876,0.19378341,6.68041778e-04
0.1675,5.5517,0.19771099,6.70625808e-04
0.1675,5.6157,0.20174917,6.73172941e-04
0.1675,5.6798,0.20590016,6.75682884e-04
0.1675,5.7438,0.21016605,6.78155348e-04
0.1675,5.8079,0.21454878,6.80590048e-04
0.1675,5.8719,0.21905010,6.82986705e-04
0.1675,5.9360,0.22367160,6.85345041e-04
0.1675,6.0000,0.22841466,6.87664787e-04
0.1762,0.3000,0.18529742,3.71140146e-04
0.1762,0.3640,0.18136510,3.75647562e-04
0.1762,0.4281,0.17750737,3.80151710e-04
0.1762,0.4921,0.17372572,3.84652016e-04
0.1762,0.5562,0.17002188,3.89147907e-04
0.1762,0.6202,0.16639772,3.93638810e-04
0.1762,0.6843,0.16285533,3.98124152e-04
0.1762,0.7483,0.15939692,4.02603363e-04
0.1762,0.8124,0.15602486,4.07075871e-04
0.1762,0.8764,0.15274161,4.11541107e-04
0.1762,0.9404,0.14954973,4.15998502e-04
0.1762,1.0045,0.14645184,4.20447487e-04
0.1762,1.0685,0.14345061,4.24887496e-04
0.1762,1.1326,0.14054871,4.29317964e-04
0.1762,1.1966,0.13774882,4.33738325e-04
0.1762,1.2607,0.13505358,4.38148016e-04
0.1762,1.3247,0.13246556,4.42546476e-04
0.1762,1.3888,0.12998728,4.46933144e-04
0.1762,1.4528,0.12762111,4.51307461e-04
0.1762,1.5169,0.12536935,4.55668870e-04
0.1762,1.5809,0.12323410,4.60016815e-04
0.1762,1.6449,0.12121733,4.64350743e-04
0.1762,1.7090,0.11932081,4.68670100e-04
0.1762,1.7730,0.11754610,4.72974337e-04
0.1762,1.8371,0.11589457,4.77262905e-04
0.1762,1.9011,0.11436734,4.81535257e-04
0.1762,1.9652,0.11296530,4.85790850e-04
0.1762,2.0292,0.11168909,4.90029141e-04
0.1762,2.0933,0.11053910,4.94249590e-04
0.1762,2.1573,0.10951546,4.98451659e-04
0.1762,2.2213,0.10861806,5.02634814e-04
0.1762,2.2854,0.10784650,5.06798520e-04
0.1762,2.3494,0.10720016,5.10942248e-04
0.1762,2.4135,0.10667816,5.15065469e-04
0.1762,2.4775,0.10627937,5.19167658e-04
0.1762,2.5416,0.10600246,5.23248292e-04
0.1762,2.6056,0.10584585,5.27306852e-04
0.1762,2.6697,0.10580778,5.31342820e-04
0.1762,2.7337,0.10588631,5.35355682e-04
0.1762,2.7978,0.10607931,5.39344927e-04
0.1762,2.8618,0.10638451,5.43310047e-04
0.1762,2.9258,0.10679954,5.47250535e-04
0.1762,2.9899,0.10732188,5.51165891e-04
0.1762,3.0539,0.10794896,5.55055615e-04
0.1762,3.1180,0.10867814,5.58919212e-04
0.1762,3.1820,0.10950675,5.62756189e-04
0.1762,3.2461,0.11043212,5.66566058e-04
0.1762,3.3101,0.11145156,5.70348333e-04
0.1762,3.3742,0.11256247,5.74102532e-04
0.1762,3.4382,0.11376229,5.77828176e-04
0.1762,3.5022,0.11504853,5.81524792e-04
0.1762,3.5663,0.11641884,5.85191908e-04
0.1762,3.6303,0.11787098,5.88829057e-04
0.1762,3.6944,0.11940290,5.92435775e-04
0.1762,3.7584,0.12101267,5.96011603e-04
0.1762,3.8225,0.12269859,5.99556085e-04
0.1762,3.8865,0.12445914,6.03068770e-04
0.1762,3.9506,0.12629305,6.06549209e-04
0.1762,4.0146,0.12819925,6.09996961e-04
0.1762,4.0787,0.13017693,6.13411584e-04
0.1762,4.1427,0.13222552,6.16792645e-04
0.1762,4.2067,0.13434471,6.20139712e-04
0.1762,4.2708,0.13653443,6.23452360e-04
0.1762,4.3348,0.13879490,6.26730165e-04
0.1762,4.3989,0.14112656,6.29972710e-04
0.1762,4.4629,0.14353013,6.33179582e-04
0.1762,4.5270,0.14600656,6.36350373e-04
0.1762,4.5910,0.14855703,6.39484678e-04
0.1762,4.6551,0.15118296,6.42582098e-04
0.1762,4.7191,0.15388597,6.45642239e-04
0.1762,4.7831,0.15666788,6.48664710e-04
0.1762,4.8472,0.15953071,6.51649126e-04
0.1762,4.9112,0.16247660,6.54595108e-04
0.1762,4.9753,0.16550787,6.57502279e-04
0.1762,5.0393,0.16862695,6.60370270e-04
0.1762,5.1034,0.17183635,6.63198715e-04
0.1762,5.1674,0.17513868,6.65987253e-04
0.1762,5.2315,0.17853658,6.68735530e-04
0.1762,5.2955,0.18203274,6.71443194e-04
0.1762,5.3596,0.18562982,6.74109902e-04
0.1762,5.4236,0.18933050,6.76735312e-04
0.1762,5.4876,0.19313736,6.79319092e-04
0.1762,5.5517,0.19705296,6.81860911e-04
0.1762,5.6157,0.20107973,6.84360446e-04
0.1762,5.6798,0.20521999,6.86817378e-04
0.1762,5.7438,0.20947594,6.89231394e-04
0.1762,5.8079,0.21384959,6.91602187e-04
0.1762,5.8719,0.21834279,6.93929454e-04
0.1762,5.9360,0.22295721,6.96212899e-04
0.1762,6.0000,0.22769427,6.98452231e-04
0.1850,0.3000,0.18483716,3.72188605e-04
0.1850,0.3640,0.18089864,3.76918965e-04
0.1850,0.4281,0.17703366,3.81645547e-04
0.1850,0.4921,0.17324376,3.86367686e-04
0.1850,0.5562,0.16953075,3.91084720e-04
0.1850,0.6202,0.16589659,3.95795986e-04
0.1850,0.6843,0.16234345,4.00500823e-04
0.1850,0.7483,0.15887365,4.05198571e-04
0.1850,0.8124,0.15548965,4.09888570e-04
0.1850,0.8764,0.15219404,4.14570162e-04
0.1850,0.9404,0.14898948,4.19242690e-04
0.1850,1.0045,0.14587872,4.23905497e-04
0.1850,1.0685,0.14286453,4.28557929e-04
0.1850,1.1326,0.13994971,4.33199334e-04
0.1850,1.1966,0.13713707,4.37829058e-04
0.1850,1.2607,0.13442934,4.42446453e-04
0.1850,1.3247,0.13182924,4.47050871e-04
0.1850,1.3888,0.12933936,4.51641664e-04
0.1850,1.4528,0.12696223,4.56218189e-04
0.1850,1.5169,0.12470019,4.60779803e-04
0.1850,1.5809,0.12255549,4.65325865e-04
0.1850,1.6449,0.12053015,4.69855738e-04
0.1850,1.7090,0.11862604,4.74368785e-04
0.1850,1.7730,0.11684478,4.78864374e-04
0.1850,1.8371,0.11518780,4.83341872e-04
0.1850,1.9011,0.11365627,4.87800651e-04
0.1850,1.9652,0.11225113,4.92240086e-04
0.1850,2.0292,0.11097303,4.96659554e-04
0.1850,2.0933,0.10982240,5.01058433e-04
0.1850,2.1573,0.10879936,5.05436106e-04
0.1850,2.2213,0.10790380,5.09791959e-04
0.1850,2.2854,0.10713530,5.14125380e-04
0.1850,2.3494,0.10649322,5.18435762e-04
0.1850,2.4135,0.10597662,5.22722498e-04
0.1850,2.4775,0.10558435,5.26984987e-04
0.1850,2.5416,0.10531499,5.31222631e-04
0.1850,2.6056,0.10516692,5.35434834e-04
0.1850,2.6697,0.10513828,5.39621006e-04
0.1850,2.7337,0.10522704,5.43780559e-04
0.1850,2.7978,0.10543099,5.47912909e-04
0.1850,2.8618,0.10574777,5.52017476e-04
0.1850,2.9258,0.10617486,5.56093683e-04
0.1850,2.9899,0.10670967,5.60140959e-04
0.1850,3.0539,0.10734950,5.64158735e-04
0.1850,3.1180,0.10809160,5.68146447e-04
0.1850,3.1820,0.10893316,5.72103535e-04
0.1850,3.2461,0.10987141,5.76029444e-04
0.1850,3.3101,0.11090354,5.79923624e-04
0.1850,3.3742,0.11202683,5.83785526e-04
0.1850,3.4382,0.11323859,5.87614609e-04
0.1850,3.5022,0.11453625,5.91410336e-04
0.1850,3.5663,0.11591733,5.95172173e-04
0.1850,3.6303,0.11737951,5.98899593e-04
0.1850,3.6944,0.11892063,6.02592072e-04
0.1850,3.7584,0.12053868,6.06249092e-04
0.1850,3.8225,0.12223189,6.09870139e-04
0.1850,3.8865,0.12399868,6.13454706e-04
0.1850,3.9506,0.12583770,6.17002288e-04
0.1850,4.0146,0.12774784,6.20512389e-04
0.1850,4.0787,0.12972826,6.23984515e-04
0.1850,4.1427,0.13177837,6.27418178e-04
0.1850,4.2067,0.13389783,6.30812898e-04
0.1850,4.2708,0.13608658,6.34168196e-04
0.1850,4.3348,0.13834484,6.37483603e-04
0.1850,4.3989,0.14067309,6.40758653e-04
0.1850,4.4629,0.14307205,6.43992885e-04
0.1850,4.5270,0.14554273,6.47185847e-04
0.1850,4.5910,0.14808637,6.50337089e-04
0.1850,4.6551,0.15070445,6.53446170e-04
0.1850,4.7191,0.15339865,6.56512653e-04
0.1850,4.7831,0.15617089,6.59536107e-04
0.1850,4.8472,0.15902325,6.62516108e-04
0.1850,4.9112,0.16195800,6.65452238e-04
0.1850,4.9753,0.16497754,6.68344085e-04
0.1850,5.0393,0.16808441,6.71191242e-04
0.1850,5.1034,0.17128125,6.73993310e-04
0.1850,5.1674,0.17457077,6.76749895e-04
0.1850,5.2315,0.17795573,6.79460611e-04
0.1850,5.2955,0.18143894,6.82125078e-04
0.1850,5.3596,0.18502319,6.84742920e-04
0.1850,5.4236,0.18871126,6.87313770e-04
0.1850,5.4876,0.19250587,6.89837268e-04
0.1850,5.5517,0.19640966,6.92313060e-04
0.1850,5.6157,0.20042519,6.94740797e-04
0.1850,5.6798,0.20455489,6.97120139e-04
0.1850,5.7438,0.20880104,6.99450752e-04
0.1850,5.8079,0.21316575,7.01732309e-04
0.1850,5.8719,0.21765097,7.03964489e-04
0.1850,5.9360,0.22225840,7.06146980e-04
0.1850,6.0000,0.22698957,7.08279474e-04
0.1937,0.3000,0.18438871,3.73236910e-04
0.1937,0.3640,0.18044411,3.78190095e-04
0.1937,0.4281,0.17657199,3.83138940e-04
0.1937,0.4921,0.17277398,3.88082681e-04
0.1937,0.5562,0.16905194,3.93020559e-04
0.1937,0.6202,0.16540793,3.97951813e-04
0.1937,0.6843,0.16184421,4.02875684e-04
0.1937,0.7483,0.15836321,4.07791413e-04
0.1937,0.8124,0.15496747,4.12698244e-04
0.1937,0.8764,0.15165969,4.17595420e-04
0.1937,0.9404,0.14844266,4.22482189e-04
0.1937,1.0045,0.14531923,4.27357798e-04
0.1937,1.0685,0.14229229,4.32221495e-04
0.1937,1.1326,0.13936477,4.37072533e-04
0.1937,1.1966,0.13653957,4.41910163e-04
0.1937,1.2607,0.13381957,4.46733642e-04
0.1937,1.3247,0.13120757,4.51542226e-04
0.1937,1.3888,0.12870630,4.56335176e-04
0.1937,1.4528,0.12631836,4.61111752e-04
0.1937,1.5169,0.12404623,4.65871220e-04
0.1937,1.5809,0.12189222,4.70612847e-04
0.1937,1.6449,0.11985846,4.75335903e-04
0.1937,1.7090,0.11794687,4.80039661e-04
0.1937,1.7730,0.11615917,4.84723395e-04
0.1937,1.8371,0.11449683,4.89386386e-04
0.1937,1.9011,0.11296107,4.94027915e-04
0.1937,1.9652,0.11155287,4.98647267e-04
0.1937,2.0292,0.11027293,5.03243731e-04
0.1937,2.0933,0.10912166,5.07816600e-04
0.1937,2.1573,0.10809921,5.12365169e-04
0.1937,2.2213,0.10720546,5.16888739e-04
0.1937,2.2854,0.10643997,5.21386611e-04
0.1937,2.3494,0.10580207,5.25858095e-04
0.1937,2.4135,0.10529080,5.30302501e-04
0.1937,2.4775,0.10490494,5.34719145e-04
0.1937,2.5416,0.10464302,5.39107347e-04
0.1937,2.6056,0.10450333,5.43466431e-04
0.1937,2.6697,0.10448397,5.47795727e-04
0.1937,2.7337,0.10458281,5.52094567e-04
0.1937,2.7978,0.10479753,5.56362290e-04
0.1937,2.8618,0.10512569,5.60598239e-04
0.1937,2.9258,0.10556466,5.64801761e-04
0.1937,2.9899,0.10611174,5.68972209e-04
0.1937,3.0539,0.10676411,5.73108940e-04
0.1937,3.1180,0.10751891,5.77211319e-04
0.1937,3.1820,0.10837323,5.81278714e-04
0.1937,3.2461,0.10932414,5.85310497e-04
0.1937,3.3101,0.11036876,5.89306049e-04
0.1937,3.3742,0.11150422,5.93264753e-04
0.1937,3.4382,0.11272774,5.97186002e-04
0.1937,3.5022,0.11403663,6.01069190e-04
0.1937,3.5663,0.11542831,6.04913719e-04
0.1937,3.6303,0.11690037,6.08718999e-04
0.1937,3.6944,0.11845053,6.12484443e-04
0.1937,3.7584,0.12007674,6.16209471e-04
0.1937,3.8225,0.12177712,6.19893510e-04
0.1937,3.8865,0.12355003,6.23535992e-04
0.1937,3.9506,0.12539408,6.27136356e-04
0.1937,4.0146,0.12730811,6.30694049e-04
0.1937,4.0787,0.12929123,6.34208522e-04
0.1937,4.1427,0.13134282,6.37679234e-04
0.1937,4.2067,0.13346255,6.41105652e-04
0.1937,4.2708,0.13565035,6.44487246e-04
0.1937,4.3348,0.13790644,6.47823497e-04
0.1937,4.3989,0.14023132,6.51113892e-04
0.1937,4.4629,0.14262576,6.54357922e-04
0.1937,4.5270,0.14509079,6.57555089e-04
0.1937,4.5910,0.14762771,6.60704901e-04
0.1937,4.6551,0.15023805,6.63806872e-04
0.1937,4.7191,0.15292359,6.66860525e-04
0.1937,4.7831,0.15568630,6.69865390e-04
0.1937,4.8472,0.15852837,6.72821003e-04
0.1937,4.9112,0.16145215,6.75726911e-04
0.1937,4.9753,0.16446016,6.78582665e-04
0.1937,5.0393,0.16755502,6.81387826e-04
0.1937,5.1034,0.17073950,6.84141962e-04
0.1937,5.1674,0.17401641,6.86844649e-04
0.1937,5.2315,0.17738865,6.89495470e-04
0.1937,5.2955,0.18085912,6.92094018e-04
0.1937,5.3596,0.18443074,6.94639892e-04
0.1937,5.4236,0.18810641,6.97132701e-04
0.1937,5.4876,0.19188895,6.99572060e-04
0.1937,5.5517,0.19578113,7.01957594e-04
0.1937,5.6157,0.19978561,7.04288936e-04
0.1937,5.6798,0.20390492,7.06565726e-04
0.1937,5.7438,0.20814143,7.08787615e-04
0.1937,5.8079,0.21249735,7.10954260e-04
0.1937,5.8719,0.21697470,7.13065327e-04
0.1937,5.9360,0.22157526,7.15120491e-04
0.1937,6.0000,0.22630062,7.17119437e-04
0.2025,0.3000,0.18395200,3.74285056e-04
0.2025,0.3640,0.18000141,3.79460939e-04
0.2025,0.4281,0.17612228,3.84631867e-04
0.2025,0.4921,0.17231629,3.89796970e-04
0.2025,0.5562,0.16858538,3.94955380e-04
0.2025,0.6202,0.16493170,4.00106228e-04
0.2025,0.6843,0.16135759,4.05248649e-04
0.2025,0.7483,0.15786556,4.10381777e-04
0.2025,0.8124,0.15445829,4.15504749e-04
0.2025,0.8764,0.15113856,4.20616703e-04
0.2025,0.9404,0.14790926,4.25716781e-04
0.2025,1.0045,0.14477338,4.30804123e-04
0.2025,1.0685,0.14173391,4.35877874e-04
0.2025,1.1326,0.13879390,4.40937180e-04
0.2025,1.1966,0.13595637,4.45981192e-04
0.2025,1.2607,0.13322429,4.51009060e-04
0.2025,1.3247,0.13060060,4.56019939e-04
0.2025,1.3888,0.12808813,4.61012986e-04
